id,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,premium,sourcing_channel_A,sourcing_channel_B,sourcing_channel_C,sourcing_channel_D,sourcing_channel_E,residence_area_type_Rural,residence_area_type_Urban
22581,0.283,19357,138260,0.0,0.0,0.0,99.05,19,9600,0,0,0,1,0,1,0
56470,0.964,16069,147670,1.0,0.0,1.0,99.48,8,5400,0,1,0,0,0,0,1
22775,0.013,20448,180090,0.0,0.0,0.0,98.28,9,1200,0,1,0,0,0,1,0
13013,0.023,23003,285070,0.0,0.0,0.0,98.59,18,36900,0,0,1,0,0,0,1
67667,0.154,20453,1402960,0.0,0.0,0.0,99.82,8,60000,0,0,0,1,0,0,1
88808,0.283,23371,128280,0.0,0.0,1.0,98.52,8,9600,1,0,0,0,0,1,0
36488,0.143,24104,300030,0.0,0.0,0.0,99.54,16,18000,1,0,0,0,0,0,1
72365,0.858,19357,398610,0.0,0.0,1.0,98.77,11,20100,0,1,0,0,0,1,0
66019,0.607,11325,61900,2.0,0.0,1.0,97.19,14,1200,1,0,0,0,0,1,0
65916,0.03,25195,30090,0.0,0.0,0.0,98.33,18,5700,1,0,0,0,0,1,0
97657,0.166,18259,212590,0.0,0.0,0.0,99.26,20,9600,1,0,0,0,0,0,1
64458,0.535,23003,492580,0.0,0.0,0.0,99.36,13,24300,1,0,0,0,0,0,1
71768,0.675,17532,262590,2.0,0.0,0.0,98.74,11,15900,0,0,1,0,0,0,1
12557,0.365,12053,138070,1.0,0.0,0.0,99.13,11,13800,1,0,0,0,0,0,1
108948,0.02,11323,153080,0.0,0.0,0.0,98.53,17,13800,1,0,0,0,0,0,1
58740,0.24,21178,211390,0.0,1.0,0.0,99.45,10,1200,0,0,0,1,0,1,0
15954,0.101,21908,352300,0.0,0.0,0.0,99.5,15,7500,0,0,0,1,0,0,1
4575,0.0,9499,57120,0.0,0.0,0.0,99.68,5,5700,1,0,0,0,0,0,1
13647,0.003,22274,288550,0.0,0.0,0.0,98.98,14,15900,1,0,0,0,0,0,1
50118,0.046,15706,60050,0.0,0.0,0.0,99.56,11,3300,1,0,0,0,0,0,1
6764,0.287,10964,78050,0.0,0.0,0.0,99.01,12,5400,1,0,0,0,0,1,0
89735,0.229,19356,150070,0.0,0.0,0.0,99.24,15,1200,0,0,0,1,0,0,1
6332,0.888,14972,123120,2.0,1.0,1.0,98.31,12,1200,0,0,0,1,0,0,1
53901,0.065,23370,354100,0.0,0.0,1.0,98.65,16,22200,1,0,0,0,0,1,0
54253,0.79,17525,180150,0.0,0.0,0.0,99.72,4,11700,1,0,0,0,0,1,0
50515,0.222,11330,160560,0.0,0.0,0.0,99.66,4,13800,1,0,0,0,0,0,1
42855,0.377,23735,145500,0.0,0.0,0.0,99.06,9,7500,1,0,0,0,0,1,0
76488,0.876,12057,600030,2.0,0.0,0.0,99.56,13,26400,0,1,0,0,0,1,0
59100,0.195,16065,165030,0.0,0.0,0.0,98.88,9,11700,0,1,0,0,0,0,1
106681,0.525,10593,153480,0.0,0.0,0.0,99.1,14,9600,0,1,0,0,0,0,1
13218,0.046,21905,270090,0.0,0.0,0.0,98.76,13,11700,0,1,0,0,0,1,0
23624,0.42,14977,287550,0.0,0.0,0.0,98.73,11,13800,1,0,0,0,0,1,0
107196,0.056,18987,405080,0.0,0.0,0.0,99.16,15,15900,0,1,0,0,0,1,0
3106,0.343,17170,67250,1.0,4.0,0.0,99.3,4,3300,0,0,1,0,0,1,0
6846,1.0,27382,364180,0.0,0.0,0.0,99.65,4,20100,1,0,0,0,0,1,0
18737,0.482,19724,251130,0.0,0.0,0.0,98.34,11,22200,0,0,0,1,0,0,1
66096,0.09,27021,120130,0.0,0.0,0.0,99.84,8,7500,1,0,0,0,0,0,1
62368,0.252,11690,50090,0.0,0.0,0.0,98.35,10,3300,1,0,0,0,0,0,1
12592,0.0,16072,155570,0.0,0.0,0.0,99.06,7,13800,1,0,0,0,0,1,0
66753,0.177,16802,150100,0.0,0.0,0.0,99.29,7,9600,0,0,0,1,0,0,1
48364,0.701,16435,232310,0.0,0.0,0.0,98.67,14,9600,0,0,1,0,0,0,1
27878,0.106,16066,180140,0.0,0.0,0.0,99.25,8,9600,0,0,1,0,0,0,1
107853,0.335,16437,126070,0.0,0.0,0.0,98.93,8,5700,1,0,0,0,0,0,1
56183,0.053,13875,154470,0.0,0.0,1.0,99.02,11,11700,0,0,0,1,0,1,0
83501,0.263,16433,275060,0.0,0.0,0.0,98.84,24,13800,0,0,1,0,0,1,0
41245,0.137,22640,71560,0.0,0.0,0.0,98.79,9,5400,1,0,0,0,0,1,0
50326,0.369,20086,129800,1.0,0.0,0.0,98.48,22,7500,0,1,0,0,0,0,1
53575,0.424,12787,60090,0.0,0.0,0.0,98.95,11,5700,0,1,0,0,0,1,0
63324,0.016,22277,96040,0.0,0.0,0.0,97.62,11,9600,1,0,0,0,0,0,1
36131,0.204,12788,354040,0.0,0.0,0.0,99.09,6,11700,1,0,0,0,0,0,1
80502,1.0,22272,60030,0.0,0.0,0.0,95.85,13,5700,0,1,0,0,0,0,1
94623,0.011,28844,195130,0.0,0.0,0.0,99.14,15,13800,1,0,0,0,0,0,1
8168,0.441,13877,136440,0.0,0.0,0.0,98.78,13,7500,0,0,1,0,0,0,1
61477,0.269,25562,150110,0.0,0.0,0.0,99.52,4,13800,1,0,0,0,0,1,0
104711,0.021,12417,330070,0.0,0.0,0.0,98.58,13,15900,1,0,0,0,0,0,1
105127,0.025,25923,171050,0.0,0.0,0.0,98.98,9,7500,1,0,0,0,0,0,1
91472,0.013,25922,70210,0.0,0.0,0.0,99.87,5,1200,0,1,0,0,0,0,1
46191,0.739,15710,75030,0.0,0.0,1.0,94.91,16,5400,1,0,0,0,0,1,0
